"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"augustus_masked-NW_019167827.1-processed-gene-31.9-mRNA-1:2",46.2201488089027,2.92096635916561,0.841952000337375,3.46927895888978,0.000521857292509103,0.0204841362147506
"augustus_masked-NW_019167827.1-processed-gene-26.5-mRNA-1:1",92.1914406991997,-6.91049234151015,1.99324580829987,-3.46695440809903,0.000526391165577291,0.0204841362147506
"augustus_masked-NW_019167827.1-processed-gene-26.8-mRNA-1:9",102.462274112311,-4.24200891612,1.22978218374068,-3.44939857822374,0.000561836740079822,0.0215675415523804
"augustus_masked-NW_019167827.1-processed-gene-228.11-mRNA-1:1",46.4992186298622,-6.55575501883894,1.90133022278035,-3.44798338568055,0.000564788777803403,0.0215675415523804
"augustus_masked-NW_019167827.1-processed-gene-89.4-mRNA-1:1",111.477116709837,-6.90629745638353,2.00670850667098,-3.44160471410007,0.000578274603492058,0.021593317280743
"augustus_masked-NW_019167827.1-processed-gene-216.15-mRNA-1:3",562.80865567557,-4.6715863928166,1.3577272256794,-3.44074001350232,0.000580125663928347,0.021593317280743
"augustus_masked-NW_019167827.1-processed-gene-43.10-mRNA-1:3",49.8453317285564,-3.71714209026057,1.08050662892668,-3.44018443825095,0.00058131789057311,0.021593317280743
"augustus_masked-NW_019167827.1-processed-gene-89.5-mRNA-1:8",102.625448374858,-6.88192584631902,2.00495037324626,-3.43246692693762,0.000598116827288917,0.0220171653720947
"augustus_masked-NW_019167827.1-processed-gene-228.5-mRNA-1:7",127.190856024806,-2.928873056666,0.855673287551103,-3.42288709870598,0.000619598063901136,0.0226042650812504
"augustus_masked-NW_019167827.1-processed-gene-223.7-mRNA-1:1",42.3763299453446,-6.46179858973909,1.89353399669357,-3.41256011300694,0.00064355731470035,0.0229504003383916
"augustus_masked-NW_019167827.1-processed-gene-10.4-mRNA-1:7",93.833097164475,-6.84161786141478,2.00485036370213,-3.41253291780895,0.00064362153166867,0.0229504003383916
"augustus_masked-NW_019167827.1-processed-gene-10.4-mRNA-1:8",84.1358574569734,-6.82270024263603,1.99988030950303,-3.41155428663201,0.000645936377610139,0.0229504003383916
"augustus_masked-NW_019167827.1-processed-gene-232.10-mRNA-1:8",39.7469528750201,-4.71333141042391,1.3856842830973,-3.40144682877446,0.000670301667962975,0.0236107984077303
"augustus_masked-NW_019167827.1-processed-gene-30.3-mRNA-1:1",6529.87138729306,-5.93468764820563,1.74858708682654,-3.3939903210519,0.000688821270500837,0.0240014629416423
"augustus_masked-NW_019167827.1-processed-gene-10.12-mRNA-1:7",684.196930114946,-5.26264838682718,1.55136115441762,-3.39227804682449,0.000693140633165392,0.0240014629416423
